OFFICIAL ELECTION RESULTS
Bucks
Contest Name,Candidate Name,Party,Absentee and Mail-In Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported
"Total Precincts Reported","304"
"Presidential Electors  (Dem)","Joseph R. Biden, Jr.","Dem","33541","22741","214","56496","304","304"
"Presidential Electors  (Dem)","Dean Phillips","Dem","1197","1803","13","3013","304","304"
"Presidential Electors  (Dem)","Write-in","Dem","654","1253","5","1912","304","304"
"Presidential Electors (Rep)","Nikki R. Haley","Rep","4967","6679","23","11669","304","304"
"Presidential Electors (Rep)","Donald J. Trump","Rep","8329","40800","123","49252","304","304"
"Presidential Electors (Rep)","Write-in","Rep","540","659","3","1202","304","304"
"United States Senator (Dem)","Robert P. Casey, Jr.","Dem","34489","24956","221","59666","304","304"
"United States Senator (Dem)","Write-in","Dem","188","411","2","601","304","304"
"United States Senator (Rep)","Dave McCormick","Rep","12096","44519","132","56747","304","304"
"United States Senator (Rep)","Write-in","Rep","444","960","1","1405","304","304"
"Attorney General (Dem)","Jack Stollsteimer","Dem","5963","3887","13","9863","304","304"
"Attorney General (Dem)","Eugene DePasquale","Dem","2450","1342","15","3807","304","304"
"Attorney General (Dem)","Joe Khan","Dem","20295","16571","163","37029","304","304"
"Attorney General (Dem)","Keir Bradford-Grey","Dem","2523","1450","15","3988","304","304"
"Attorney General (Dem)","Jared Solomon","Dem","3683","2328","18","6029","304","304"
"Attorney General (Dem)","Write-in","Dem","42","197","1","240","304","304"
"Attorney General (Rep)","Dave Sunday","Rep","7213","32534","90","39837","304","304"
"Attorney General (Rep)","Craig Williams","Rep","5248","12379","42","17669","304","304"
"Attorney General (Rep)","Write-in","Rep","183","179","0","362","304","304"
"Auditor General (Dem)","Malcolm Kenyatta","Dem","21838","17663","147","39648","304","304"
"Auditor General (Dem)","Mark Pinsley","Dem","11726","6822","66","18614","304","304"
"Auditor General (Dem)","Write-in","Dem","64","200","1","265","304","304"
"Auditor General (Rep)","Tim DeFoor","Rep","11997","43168","130","55295","304","304"
"Auditor General (Rep)","Write-in","Rep","182","274","0","456","304","304"
"State Treasurer (Dem)","Ryan Bizzarro","Dem","15370","13318","113","28801","304","304"
"State Treasurer (Dem)","Erin McClelland","Dem","17752","11007","96","28855","304","304"
"State Treasurer (Dem)","Write-in","Dem","83","224","1","308","304","304"
"State Treasurer (Rep)","Stacy Garrity","Rep","11961","42939","129","55029","304","304"
"State Treasurer (Rep)","Write-in","Rep","173","274","0","447","304","304"
"Representative in Congress (Dem)","Ashley Ehasz","Dem","34275","24719","217","59211","304","304"
"Representative in Congress (Dem)","Write-in","Dem","160","346","5","511","304","304"
"Representative in Congress (Rep)","Brian Fitzpatrick","Rep","11580","27683","107","39370","304","304"
"Representative in Congress (Rep)","Mark Houck","Rep","2472","20516","42","23030","304","304"
"Representative in Congress (Rep)","Write-in","Rep","97","180","0","277","304","304"
"Representative in the General Assembly 18th (Dem)","Anand Patel","Dem","2259","1825","17","4101","28","28"
"Representative in the General Assembly 18th (Dem)","Write-in","Dem","15","34","0","49","28","28"
"Representative in the General Assembly 18th (Rep)","Kathleen K C Tomlinson","Rep","1009","3695","9","4713","28","28"
"Representative in the General Assembly 18th (Rep)","Write-in","Rep","11","51","0","62","28","28"
"Representative in the General Assembly 29th (Dem)","Tim Brennan","Dem","4980","3574","34","8588","29","29"
"Representative in the General Assembly 29th (Dem)","Write-in","Dem","12","25","0","37","29","29"
"Representative in the General Assembly 29th (Rep)","Steve Mekanik","Rep","1726","4632","29","6387","29","29"
"Representative in the General Assembly 29th (Rep)","Write-in","Rep","19","38","0","57","29","29"
"Representative in the General Assembly 31st (Dem)","Perry Warren","Dem","5104","3166","40","8310","30","30"
"Representative in the General Assembly 31st (Dem)","Write-in","Dem","9","27","0","36","30","30"
"Representative in the General Assembly 31st (Rep)","Write-in","Rep","279","2048","8","2335","30","30"
"Representative in the General Assembly 140th (Dem)","Jim Prokopiak","Dem","2549","2664","18","5231","33","33"
"Representative in the General Assembly 140th (Dem)","Write-in","Dem","11","35","0","46","33","33"
"Representative in the General Assembly 140th (Rep)","Candace Cabanas","Rep","524","2961","3","3488","33","33"
"Representative in the General Assembly 140th (Rep)","Write-in","Rep","11","39","0","50","33","33"
"Representative in the General Assembly 141st (Dem)","Tina Davis","Dem","2480","2510","10","5000","39","39"
"Representative in the General Assembly 141st (Dem)","Write-in","Dem","13","23","0","36","39","39"
"Representative in the General Assembly 141st (Rep)","Noah Boyd","Rep","496","2593","6","3095","39","39"
"Representative in the General Assembly 141st (Rep)","Write-in","Rep","7","22","0","29","39","39"
"Representative in the General Assembly 142nd (Dem)","Anna Payne","Dem","3512","2500","20","6032","30","30"
"Representative in the General Assembly 142nd (Dem)","Write-in","Dem","8","42","1","51","30","30"
"Representative in the General Assembly 142nd (Rep)","Joe Hogan","Rep","1267","4894","9","6170","30","30"
"Representative in the General Assembly 142nd (Rep)","Write-in","Rep","18","111","0","129","30","30"
"Representative in the General Assembly 143rd (Dem)","Eleanor Breslin","Dem","3228","2312","15","5555","27","27"
"Representative in the General Assembly 143rd (Dem)","Write-in","Dem","18","23","0","41","27","27"
"Representative in the General Assembly 143rd (Rep)","Shelby Labs","Rep","1338","5882","9","7229","27","27"
"Representative in the General Assembly 143rd (Rep)","Write-in","Rep","26","44","0","70","27","27"
"Representative in the General Assembly 144th (Dem)","Brian Munroe","Dem","4054","2342","30","6426","28","28"
"Representative in the General Assembly 144th (Dem)","Write-in","Dem","13","27","0","40","28","28"
"Representative in the General Assembly 144th (Rep)","Daniel J. McPhillips","Rep","1639","4498","21","6158","28","28"
"Representative in the General Assembly 144th (Rep)","Write-in","Rep","17","21","0","38","28","28"
"Representative in the General Assembly 145th (Dem)","Vera Cole","Dem","2755","1931","13","4699","29","29"
"Representative in the General Assembly 145th (Dem)","Write-in","Dem","4","11","0","15","29","29"
"Representative in the General Assembly 145th (Rep)","Craig Staats","Rep","1247","5607","9","6863","29","29"
"Representative in the General Assembly 145th (Rep)","Write-in","Rep","29","26","0","55","29","29"
"Representative in the General Assembly 178th (Dem)","Emma Rosenthal","Dem","3489","2169","21","5679","31","31"
"Representative in the General Assembly 178th (Dem)","Write-in","Dem","16","28","1","45","31","31"
"Representative in the General Assembly 178th (Rep)","Kristin Marcell","Rep","1696","6013","20","7729","31","31"
"Representative in the General Assembly 178th (Rep)","Write-in","Rep","26","43","0","69","31","31"
"Delegate to the Democratic National Convention (Dem)","Arthur Steinberg","Dem","28809","19918","182","48909","304","304"
"Delegate to the Democratic National Convention (Dem)","Diane M. Ellis-Marseglia","Dem","31049","21693","191","52933","304","304"
"Delegate to the Democratic National Convention (Dem)","Eleanor Breslin","Dem","29816","20656","184","50656","304","304"
"Delegate to the Democratic National Convention (Dem)","Steven Santarsiero","Dem","30583","21114","184","51881","304","304"
"Delegate to the Democratic National Convention (Dem)","Yota Palli","Dem","27966","19205","172","47343","304","304"
"Delegate to the Democratic National Convention (Dem)","Charles Quann","Dem","27694","19137","166","46997","304","304"
"Delegate to the Democratic National Convention (Dem)","Write-in","Dem","330","596","2","928","304","304"
"Delegate to the Democratic National Convention (Dem)","Write-in","Dem","115","231","1","347","304","304"
"Delegate to the Democratic National Convention (Dem)","Write-in","Dem","94","189","1","284","304","304"
"Delegate to the Democratic National Convention (Dem)","Write-in","Dem","72","158","0","230","304","304"
"Delegate to the Democratic National Convention (Dem)","Write-in","Dem","67","145","0","212","304","304"
"Delegate to the Democratic National Convention (Dem)","Write-in","Dem","62","140","0","202","304","304"
"Delegate to the Republican National Convention  (Rep)","Marie Miller","Rep","4648","16682","44","21374","304","304"
"Delegate to the Republican National Convention  (Rep)","Ellen Cox","Rep","6837","22120","69","29026","304","304"
"Delegate to the Republican National Convention  (Rep)","Liz Diehl","Rep","4089","15877","38","20004","304","304"
"Delegate to the Republican National Convention  (Rep)","Jim Worthington","Rep","8362","35945","103","44410","304","304"
"Delegate to the Republican National Convention  (Rep)","David A. Christian","Rep","7671","28148","85","35904","304","304"
"Delegate to the Republican National Convention  (Rep)","Write-in","Rep","193","390","1","584","304","304"
"Delegate to the Republican National Convention  (Rep)","Write-in","Rep","85","98","1","184","304","304"
"Delegate to the Republican National Convention  (Rep)","Write-in","Rep","66","64","1","131","304","304"
"Alternate Delegate to the Republican National Convention  (Rep)","Mike Domanico","Rep","4464","20460","59","24983","304","304"
"Alternate Delegate to the Republican National Convention  (Rep)","Vanessa Maurer","Rep","6352","22788","80","29220","304","304"
"Alternate Delegate to the Republican National Convention  (Rep)","Kathie Doyle","Rep","8291","26565","87","34943","304","304"
"Alternate Delegate to the Republican National Convention  (Rep)","Khalif M. Williams, Sr.","Rep","1047","7990","21","9058","304","304"
"Alternate Delegate to the Republican National Convention  (Rep)","Ron Arooj","Rep","1234","4196","12","5442","304","304"
"Alternate Delegate to the Republican National Convention  (Rep)","Andrea Winstanley","Rep","2383","10879","26","13288","304","304"
"Alternate Delegate to the Republican National Convention  (Rep)","Sharon Diasio","Rep","6019","19944","63","26026","304","304"
"Alternate Delegate to the Republican National Convention  (Rep)","Write-in","Rep","137","348","1","486","304","304"
"Alternate Delegate to the Republican National Convention  (Rep)","Write-in","Rep","63","77","1","141","304","304"
"Alternate Delegate to the Republican National Convention  (Rep)","Write-in","Rep","57","53","1","111","304","304"
"Bedminster Twp East Committeeman (Rep)","Philip Hall","Rep","79","406","1","486","1","1"
"Bedminster Twp East Committeeman (Rep)","Write-in","Rep","0","9","0","9","1","1"
"Bedminster Twp East Committeewoman (Rep)","Brenda Hall","Rep","80","407","1","488","1","1"
"Bedminster Twp East Committeewoman (Rep)","Write-in","Rep","0","9","0","9","1","1"
"Bedminster Twp West Committeeman (Rep)","Peter Benz, Sr.","Rep","60","155","0","215","1","1"
"Bedminster Twp West Committeeman (Rep)","David Ellis","Rep","41","184","0","225","1","1"
"Bedminster Twp West Committeeman (Rep)","Write-in","Rep","2","3","0","5","1","1"
"Bedminster Twp West Committeewoman (Rep)","Patricia Benz","Rep","71","224","0","295","1","1"
"Bedminster Twp West Committeewoman (Rep)","Leslie Cherico","Rep","32","108","0","140","1","1"
"Bedminster Twp West Committeewoman (Rep)","Write-in","Rep","2","2","0","4","1","1"
"Bensalem Twp Lower East 1 Committeeman (Rep)","Marc Cohen","Rep","41","157","1","199","1","1"
"Bensalem Twp Lower East 1 Committeeman (Rep)","Write-in","Rep","0","16","0","16","1","1"
"Bensalem Twp Lower East 1 Committeewoman (Rep)","Mary Ellen Cook","Rep","40","160","1","201","1","1"
"Bensalem Twp Lower East 1 Committeewoman (Rep)","Write-in","Rep","0","15","0","15","1","1"
"Bensalem Twp Lower East 2 Committeeman (Rep)","Write-in","Rep","3","35","0","38","1","1"
"Bensalem Twp Lower East 2 Committeewoman (Rep)","Write-in","Rep","3","7","0","10","1","1"
"Bensalem Twp Lower East 3 Committeeman (Rep)","Binu Scariah","Rep","24","95","1","120","1","1"
"Bensalem Twp Lower East 3 Committeeman (Rep)","Write-in","Rep","0","0","0","0","1","1"
"Bensalem Twp Lower East 3 Committeewoman (Rep)","Write-in","Rep","1","8","0","9","1","1"
"Bensalem Twp Lower East 4 Committeeman (Rep)","Write-in","Rep","2","15","0","17","1","1"
"Bensalem Twp Lower East 4 Committeewoman (Rep)","Genevieve G. McCunney","Rep","11","45","0","56","1","1"
"Bensalem Twp Lower East 4 Committeewoman (Rep)","Write-in","Rep","1","6","0","7","1","1"
"Bensalem Twp Lower East 5 Committeeman (Rep)","Ed Kisselback","Rep","81","265","0","346","1","1"
"Bensalem Twp Lower East 5 Committeeman (Rep)","Write-in","Rep","0","0","0","0","1","1"
"Bensalem Twp Lower East 5 Committeewoman (Rep)","Cathy Curran","Rep","80","252","0","332","1","1"
"Bensalem Twp Lower East 5 Committeewoman (Rep)","Write-in","Rep","0","3","0","3","1","1"
"Bensalem Twp Lower East 6 Committeeman (Rep)","John Leggieri","Rep","39","94","0","133","1","1"
"Bensalem Twp Lower East 6 Committeeman (Rep)","Write-in","Rep","0","18","0","18","1","1"
"Bensalem Twp Lower East 6 Committeewoman (Rep)","Rosemary Boyle","Rep","40","91","0","131","1","1"
"Bensalem Twp Lower East 6 Committeewoman (Rep)","Write-in","Rep","0","18","0","18","1","1"
"Bensalem Twp Lower East 7 Committeeman (Rep)","Kevin P. Hughes","Rep","32","127","0","159","1","1"
"Bensalem Twp Lower East 7 Committeeman (Rep)","Write-in","Rep","1","14","0","15","1","1"
"Bensalem Twp Lower East 7 Committeewoman (Rep)","Jean M. Hughes","Rep","32","124","0","156","1","1"
"Bensalem Twp Lower East 7 Committeewoman (Rep)","Write-in","Rep","1","14","0","15","1","1"
"Bensalem Twp Lower East 8 Committeeman (Rep)","John Polidoro","Rep","24","84","0","108","1","1"
"Bensalem Twp Lower East 8 Committeeman (Rep)","Write-in","Rep","0","9","0","9","1","1"
"Bensalem Twp Lower East 8 Committeewoman (Rep)","Elaine Baratta","Rep","23","84","0","107","1","1"
"Bensalem Twp Lower East 8 Committeewoman (Rep)","Write-in","Rep","0","9","0","9","1","1"
"Bensalem Twp Lower Middle 1 Committeeman (Rep)","Michael Gallagher","Rep","27","160","0","187","1","1"
"Bensalem Twp Lower Middle 1 Committeeman (Rep)","Write-in","Rep","0","1","0","1","1","1"
"Bensalem Twp Lower Middle 1 Committeewoman (Rep)","Lisa Diasio","Rep","26","158","0","184","1","1"
"Bensalem Twp Lower Middle 1 Committeewoman (Rep)","Write-in","Rep","0","1","0","1","1","1"
"Bensalem Twp Lower Middle 2 Committeeman (Rep)","Frank Celentano","Rep","9","128","0","137","1","1"
"Bensalem Twp Lower Middle 2 Committeeman (Rep)","Walter L. Angle, III","Rep","1","27","0","28","1","1"
"Bensalem Twp Lower Middle 2 Committeeman (Rep)","Write-in","Rep","0","0","0","0","1","1"
"Bensalem Twp Lower Middle 2 Committeewoman (Rep)","Joanne Fields","Rep","11","145","0","156","1","1"
"Bensalem Twp Lower Middle 2 Committeewoman (Rep)","Write-in","Rep","0","0","0","0","1","1"
"Bensalem Twp Lower Middle 3 Committeeman (Rep)","John W. Mathieu","Rep","51","194","0","245","1","1"
"Bensalem Twp Lower Middle 3 Committeeman (Rep)","Write-in","Rep","1","24","0","25","1","1"
"Bensalem Twp Lower Middle 3 Committeewoman (Rep)","E. Holly Fitzgerald-Visone","Rep","52","203","0","255","1","1"
"Bensalem Twp Lower Middle 3 Committeewoman (Rep)","Write-in","Rep","1","19","0","20","1","1"
"Bensalem Twp Lower Middle 4 Committeeman (Rep)","Write-in","Rep","0","6","0","6","1","1"
"Bensalem Twp Lower Middle 4 Committeewoman (Rep)","Write-in","Rep","0","4","0","4","1","1"
"Bensalem Twp Lower Middle 5 Committeeman (Rep)","Write-in","Rep","3","8","0","11","1","1"
"Bensalem Twp Lower Middle 5 Committeewoman (Rep)","Write-in","Rep","2","4","0","6","1","1"
"Bensalem Twp Lower West Committeeman (Rep)","Write-in","Rep","1","7","0","8","1","1"
"Bensalem Twp Lower West Committeewoman (Rep)","Hilde Litz","Rep","25","108","0","133","1","1"
"Bensalem Twp Lower West Committeewoman (Rep)","Write-in","Rep","1","2","0","3","1","1"
"Bensalem Twp Upper West Committeeman (Rep)","Richard D. McCarty","Rep","47","142","0","189","1","1"
"Bensalem Twp Upper West Committeeman (Rep)","Write-in","Rep","0","0","0","0","1","1"
"Bensalem Twp Upper West Committeewoman (Rep)","Nancy E. McCarty","Rep","46","144","0","190","1","1"
