OFFICIAL ELECTION RESULTS
Bucks
nameplace,Contest Name,Candidate Name,Votes,Voter Turnout
"Bedminster Twp East","Presidential Electors  (Dem)","Joseph R. Biden, Jr.","245","33.05%"
"Bedminster Twp East","Presidential Electors  (Dem)","Dean Phillips","12","33.05%"
"Bedminster Twp East","Presidential Electors  (Dem)","Write-in","10","33.05%"
"Bedminster Twp East","Presidential Electors (Rep)","Nikki R. Haley","84","33.05%"
"Bedminster Twp East","Presidential Electors (Rep)","Donald J. Trump","447","33.05%"
"Bedminster Twp East","Presidential Electors (Rep)","Write-in","8","33.05%"
"Bedminster Twp East","United States Senator (Dem)","Robert P. Casey, Jr.","267","33.05%"
"Bedminster Twp East","United States Senator (Dem)","Write-in","4","33.05%"
"Bedminster Twp East","United States Senator (Rep)","Dave McCormick","501","33.05%"
"Bedminster Twp East","United States Senator (Rep)","Write-in","7","33.05%"
"Bedminster Twp East","Attorney General (Dem)","Jack Stollsteimer","32","33.05%"
"Bedminster Twp East","Attorney General (Dem)","Eugene DePasquale","19","33.05%"
"Bedminster Twp East","Attorney General (Dem)","Joe Khan","176","33.05%"
"Bedminster Twp East","Attorney General (Dem)","Keir Bradford-Grey","15","33.05%"
"Bedminster Twp East","Attorney General (Dem)","Jared Solomon","22","33.05%"
"Bedminster Twp East","Attorney General (Dem)","Write-in","0","33.05%"
"Bedminster Twp East","Attorney General (Rep)","Dave Sunday","391","33.05%"
"Bedminster Twp East","Attorney General (Rep)","Craig Williams","108","33.05%"
"Bedminster Twp East","Attorney General (Rep)","Write-in","3","33.05%"
"Bedminster Twp East","Auditor General (Dem)","Malcolm Kenyatta","155","33.05%"
"Bedminster Twp East","Auditor General (Dem)","Mark Pinsley","109","33.05%"
"Bedminster Twp East","Auditor General (Dem)","Write-in","1","33.05%"
"Bedminster Twp East","Auditor General (Rep)","Tim DeFoor","493","33.05%"
"Bedminster Twp East","Auditor General (Rep)","Write-in","4","33.05%"
"Bedminster Twp East","State Treasurer (Dem)","Ryan Bizzarro","124","33.05%"
"Bedminster Twp East","State Treasurer (Dem)","Erin McClelland","135","33.05%"
"Bedminster Twp East","State Treasurer (Dem)","Write-in","1","33.05%"
"Bedminster Twp East","State Treasurer (Rep)","Stacy Garrity","491","33.05%"
"Bedminster Twp East","State Treasurer (Rep)","Write-in","4","33.05%"
"Bedminster Twp East","Representative in Congress (Dem)","Ashley Ehasz","267","33.05%"
"Bedminster Twp East","Representative in Congress (Dem)","Write-in","1","33.05%"
"Bedminster Twp East","Representative in Congress (Rep)","Brian Fitzpatrick","259","33.05%"
"Bedminster Twp East","Representative in Congress (Rep)","Mark Houck","278","33.05%"
"Bedminster Twp East","Representative in Congress (Rep)","Write-in","4","33.05%"
"Bedminster Twp East","Representative in the General Assembly 143rd (Dem)","Eleanor Breslin","262","33.05%"
"Bedminster Twp East","Representative in the General Assembly 143rd (Dem)","Write-in","3","33.05%"
"Bedminster Twp East","Representative in the General Assembly 143rd (Rep)","Shelby Labs","525","33.05%"
"Bedminster Twp East","Representative in the General Assembly 143rd (Rep)","Write-in","5","33.05%"
"Bedminster Twp East","Delegate to the Democratic National Convention (Dem)","Arthur Steinberg","227","33.05%"
"Bedminster Twp East","Delegate to the Democratic National Convention (Dem)","Diane M. Ellis-Marseglia","237","33.05%"
"Bedminster Twp East","Delegate to the Democratic National Convention (Dem)","Eleanor Breslin","246","33.05%"
"Bedminster Twp East","Delegate to the Democratic National Convention (Dem)","Steven Santarsiero","233","33.05%"
"Bedminster Twp East","Delegate to the Democratic National Convention (Dem)","Yota Palli","227","33.05%"
"Bedminster Twp East","Delegate to the Democratic National Convention (Dem)","Charles Quann","219","33.05%"
"Bedminster Twp East","Delegate to the Democratic National Convention (Dem)","Write-in","3","33.05%"
"Bedminster Twp East","Delegate to the Democratic National Convention (Dem)","Write-in","1","33.05%"
"Bedminster Twp East","Delegate to the Democratic National Convention (Dem)","Write-in","1","33.05%"
"Bedminster Twp East","Delegate to the Democratic National Convention (Dem)","Write-in","0","33.05%"
"Bedminster Twp East","Delegate to the Democratic National Convention (Dem)","Write-in","0","33.05%"
"Bedminster Twp East","Delegate to the Democratic National Convention (Dem)","Write-in","0","33.05%"
"Bedminster Twp East","Delegate to the Republican National Convention  (Rep)","Marie Miller","113","33.05%"
"Bedminster Twp East","Delegate to the Republican National Convention  (Rep)","Ellen Cox","323","33.05%"
"Bedminster Twp East","Delegate to the Republican National Convention  (Rep)","Liz Diehl","123","33.05%"
"Bedminster Twp East","Delegate to the Republican National Convention  (Rep)","Jim Worthington","438","33.05%"
"Bedminster Twp East","Delegate to the Republican National Convention  (Rep)","David A. Christian","371","33.05%"
"Bedminster Twp East","Delegate to the Republican National Convention  (Rep)","Write-in","6","33.05%"
"Bedminster Twp East","Delegate to the Republican National Convention  (Rep)","Write-in","2","33.05%"
"Bedminster Twp East","Delegate to the Republican National Convention  (Rep)","Write-in","1","33.05%"
"Bedminster Twp East","Alternate Delegate to the Republican National Convention  (Rep)","Mike Domanico","146","33.05%"
"Bedminster Twp East","Alternate Delegate to the Republican National Convention  (Rep)","Vanessa Maurer","323","33.05%"
"Bedminster Twp East","Alternate Delegate to the Republican National Convention  (Rep)","Kathie Doyle","370","33.05%"
"Bedminster Twp East","Alternate Delegate to the Republican National Convention  (Rep)","Khalif M. Williams, Sr.","43","33.05%"
"Bedminster Twp East","Alternate Delegate to the Republican National Convention  (Rep)","Ron Arooj","38","33.05%"
"Bedminster Twp East","Alternate Delegate to the Republican National Convention  (Rep)","Andrea Winstanley","80","33.05%"
"Bedminster Twp East","Alternate Delegate to the Republican National Convention  (Rep)","Sharon Diasio","319","33.05%"
